<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.02.03	1.57036	1.58430	1.56303	1.57969	283202	0	6
2013.02.10	1.57896	1.58094	1.54622	1.55162	251011	0	5
2013.02.17	1.54990	1.55076	1.51305	1.51605	166279	0	6
2013.02.24	1.51072	1.52216	1.49857	1.50365	192618	0	6
2013.03.03	1.50302	1.51982	1.48864	1.49222	141267	0	1
2013.03.10	1.49077	1.51762	1.48287	1.51128	218943	0	1
2013.03.17	1.51099	1.52474	1.50267	1.52269	259854	0	1
2013.03.24	1.52344	1.52599	1.50925	1.51958	215230	0	1
2013.03.31	1.51970	1.53630	1.50332	1.53357	204368	0	1
2013.04.07	1.53294	1.54113	1.52386	1.53393	220013	0	1
2013.04.14	1.53381	1.53844	1.52164	1.52288	260079	0	1
2013.04.21	1.52311	1.54984	1.51963	1.54746	215919	0	1
2013.04.28	1.54835	1.56051	1.54675	1.55683	200719	0	1
2013.05.05	1.55658	1.55976	1.53139	1.53579	196853	0	1
2013.05.12	1.53552	1.53845	1.51580	1.51666	240230	0	1
2013.05.19	1.51860	1.52807	1.50138	1.51195	271424	0	1
2013.05.26	1.51295	1.52393	1.50081	1.51938	292091	0	5
2013.06.02	1.51975	1.56833	1.51919	1.55552	321015	0	5
2013.06.09	1.55159	1.57360	1.54947	1.57008	287699	0	5
2013.06.16	1.57109	1.57510	1.53680	1.54144	309776	0	5
2013.06.23	1.53939	1.54771	1.51654	1.52112	282452	0	5
2013.06.30	1.52068	1.53042	1.48595	1.48827	276055	0	5
2013.07.07	1.48777	1.52219	1.48133	1.51036	312762	0	1
2013.07.14	1.51083	1.52816	1.50274	1.52590	261420	0	1
2013.07.21	1.52611	1.54351	1.52574	1.53779	234838	0	1
2013.07.28	1.53839	1.54134	1.51024	1.52863	255736	0	1
2013.08.04	1.52828	1.55740	1.52048	1.54966	237852	0	1
2013.08.11	1.55027	1.56564	1.54220	1.56223	236115	0	1
2013.08.18	1.56296	1.57170	1.55385	1.55662	229661	0	1
2013.08.25	1.55752	1.56117	1.54280	1.54912	201340	0	1
2013.09.01	1.55180	1.56808	1.55054	1.56266	180111	0	1
2013.09.08	1.56275	1.58844	1.56258	1.58729	173649	0	1
2013.09.15	1.59318	1.61624	1.58857	1.60016	194008	0	1
2013.09.22	1.59987	1.61466	1.59550	1.61366	183894	0	1
2013.09.29	1.61419	1.62599	1.60054	1.60055	195545	0	1
2013.10.06	1.60253	1.61237	1.59137	1.59459	173184	0	1
