<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.06	1.19323	1.19680	1.18834	1.18886	85679	0	17
2015.01.07	1.18889	1.18954	1.18013	1.18386	91337	0	17
2015.01.08	1.18381	1.18466	1.17534	1.17910	76163	0	17
2015.01.09	1.17908	1.18452	1.17617	1.18396	90542	0	17
2015.01.12	1.18452	1.18700	1.17853	1.18331	76830	0	17
2015.01.13	1.18321	1.18589	1.17526	1.17719	90284	0	17
2015.01.14	1.17715	1.18456	1.17266	1.17878	107570	0	17
2015.01.15	1.17887	1.17918	1.15670	1.16314	163066	0	17
2015.01.16	1.16315	1.16480	1.14591	1.15601	154498	0	17
2015.01.19	1.15499	1.16381	1.15499	1.16062	86853	0	17
2015.01.20	1.16059	1.16141	1.15395	1.15488	96326	0	17
2015.01.21	1.15490	1.16791	1.15406	1.16088	112095	0	17
2015.01.22	1.16092	1.16504	1.13154	1.13645	134654	0	17
2015.01.23	1.13646	1.13734	1.11137	1.12042	145331	0	17
2015.01.26	1.11485	1.12946	1.10969	1.12380	110333	0	16
2015.01.27	1.12361	1.14218	1.12228	1.13797	117900	0	17
2015.01.28	1.13801	1.13822	1.12754	1.12862	119368	0	17
2015.01.29	1.12865	1.13671	1.12612	1.13187	114709	0	17
2015.01.30	1.13188	1.13630	1.12772	1.12817	112820	0	17
2015.02.02	1.13110	1.13613	1.12915	1.13404	96078	0	17
2015.02.03	1.13399	1.15328	1.13116	1.14796	129583	0	17
2015.02.04	1.14807	1.14841	1.13148	1.13440	124066	0	17
2015.02.05	1.13444	1.14981	1.13032	1.14761	127632	0	16
2015.02.06	1.14759	1.14852	1.13110	1.13133	108077	0	16
2015.02.09	1.12956	1.13586	1.12694	1.13232	97561	0	16
2015.02.10	1.13233	1.13446	1.12721	1.13198	103256	0	16
2015.02.11	1.13196	1.13466	1.12790	1.13341	92688	0	15
2015.02.12	1.13317	1.14223	1.13011	1.14018	119277	0	16
2015.02.13	1.14015	1.14423	1.13791	1.13882	93703	0	16
2015.02.16	1.13950	1.14283	1.13186	1.13522	61742	0	16
2015.02.17	1.13528	1.14483	1.13210	1.14098	99826	0	16
2015.02.18	1.14103	1.14153	1.13330	1.13961	91730	0	16
2015.02.19	1.13963	1.14496	1.13544	1.13669	84652	0	16
2015.02.20	1.13670	1.14287	1.12780	1.13788	114882	0	16
2015.02.23	1.13886	1.13952	1.12944	1.13335	71467	0	16
2015.02.24	1.13333	1.13573	1.12874	1.13396	94921	0	16
2015.02.25	1.13397	1.13881	1.13350	1.13601	87782	0	16
2015.02.26	1.13594	1.13790	1.11828	1.11967	97398	0	16
2015.02.27	1.11961	1.12445	1.11753	1.11943	103101	0	16
2015.03.02	1.11772	1.12399	1.11593	1.11835	79178	0	16
2015.03.03	1.11831	1.12168	1.11538	1.11750	85052	0	16
2015.03.04	1.11753	1.11847	1.10607	1.10772	89901	0	16
2015.03.05	1.10771	1.11136	1.09867	1.10285	108924	0	16
2015.03.06	1.10265	1.10321	1.08385	1.08453	110748	0	16
2015.03.08	1.08255	1.08341	1.08254	1.08303	1006	0	16
2015.03.09	1.08302	1.09057	1.08219	1.08520	85083	0	16
2015.03.10	1.08523	1.08557	1.06665	1.06791	133609	0	16
2015.03.11	1.06790	1.07162	1.05105	1.05440	143556	0	16
2015.03.12	1.05439	1.06807	1.04933	1.06238	144142	0	16
2015.03.13	1.06234	1.06340	1.04616	1.04936	121456	0	15
2015.03.15	1.04690	1.04932	1.04690	1.04859	757	0	16
2015.03.16	1.04860	1.06186	1.04787	1.05664	104628	0	16
2015.03.17	1.05663	1.06500	1.05505	1.05967	101117	0	16
2015.03.18	1.05967	1.10412	1.05792	1.08286	141414	0	16
2015.03.19	1.08285	1.09185	1.06120	1.06560	180545	0	16
2015.03.20	1.06562	1.08813	1.06546	1.08142	127290	0	16
2015.03.22	1.08372	1.08819	1.08328	1.08673	2143	0	16
2015.03.23	1.08674	1.09705	1.07666	1.09445	154358	0	16
2015.03.24	1.09448	1.10284	1.08897	1.09181	142553	0	16
2015.03.25	1.09181	1.10138	1.08998	1.09710	121202	0	16
2015.03.26	1.09716	1.10515	1.08557	1.08740	139732	0	16
2015.03.27	1.08740	1.09481	1.08003	1.08909	132702	0	16
2015.03.30	1.08847	1.08944	1.08091	1.08319	111748	0	16
2015.03.31	1.08307	1.08446	1.07122	1.07310	122086	0	16
2015.04.01	1.07309	1.07989	1.07178	1.07624	126583	0	16
2015.04.02	1.07615	1.09045	1.07496	1.08794	114934	0	16
2015.04.03	1.08789	1.10263	1.08632	1.09726	63318	0	15
2015.04.06	1.10001	1.10349	1.09089	1.09217	69579	0	16
2015.04.07	1.09216	1.09541	1.08025	1.08141	118365	0	16
2015.04.08	1.08137	1.08868	1.07625	1.07794	129962	0	16
2015.04.09	1.07794	1.07879	1.06369	1.06583	118124	0	16
2015.04.10	1.06584	1.06829	1.05671	1.06031	116625	0	16
2015.04.13	1.05840	1.06185	1.05196	1.05660	123379	0	16
2015.04.14	1.05662	1.07066	1.05306	1.06537	123975	0	16
2015.04.15	1.06532	1.07015	1.05700	1.06832	142655	0	16
2015.04.16	1.06837	1.08170	1.06237	1.07601	167238	0	16
2015.04.17	1.07606	1.08482	1.07330	1.08033	149481	0	16
2015.04.20	1.08173	1.08200	1.07113	1.07365	118941	0	16
2015.04.21	1.07365	1.07806	1.06590	1.07347	119528	0	16
2015.04.22	1.07347	1.08000	1.07077	1.07240	126950	0	16
2015.04.23	1.07242	1.08452	1.06653	1.08233	137938	0	16
2015.04.24	1.08234	1.08992	1.07839	1.08720	134418	0	16
2015.04.27	1.08630	1.09258	1.08185	1.08906	115804	0	16
2015.04.28	1.08905	1.09901	1.08591	1.09801	127905	0	16
2015.04.29	1.09801	1.11871	1.09588	1.11275	155789	0	16
2015.04.30	1.11276	1.12655	1.10705	1.12230	165172	0	16
2015.05.01	1.12234	1.12894	1.11737	1.11958	117238	0	16
2015.05.04	1.11905	1.12239	1.11219	1.11450	104747	0	16
2015.05.05	1.11443	1.12223	1.10655	1.11846	123280	0	16
2015.05.06	1.11842	1.13693	1.11741	1.13460	148440	0	16
2015.05.07	1.13461	1.13910	1.12365	1.12656	149025	0	16
2015.05.08	1.12652	1.12888	1.11783	1.12091	148704	0	16
2015.05.11	1.11966	1.12056	1.11302	1.11539	116762	0	16
2015.05.12	1.11544	1.12781	1.11337	1.12118	118407	0	16
2015.05.13	1.12122	1.13820	1.12018	1.13535	124671	0	16
2015.05.14	1.13532	1.14440	1.13399	1.14086	129791	0	16
2015.05.15	1.14086	1.14662	1.13231	1.14455	127334	0	16
2015.05.18	1.14455	1.14490	1.12979	1.13141	111822	0	16
2015.05.19	1.13142	1.13256	1.11180	1.11488	134001	0	16
2015.05.20	1.11489	1.11514	1.10615	1.10928	146873	0	16
2015.05.21	1.10923	1.11805	1.10792	1.11107	132857	0	16
2015.05.22	1.11108	1.12076	1.10013	1.10103	128886	0	16
2015.05.25	1.10008	1.10090	1.09582	1.09771	60669	0	16
2015.05.26	1.09765	1.09808	1.08625	1.08716	140316	0	16
2015.05.27	1.08735	1.09284	1.08183	1.09032	134762	0	16
2015.05.28	1.09031	1.09581	1.08664	1.09478	150847	0	16
2015.05.29	1.09483	1.10055	1.09250	1.09926	133971	0	16
2015.06.01	1.09796	1.09884	1.08863	1.09258	131635	0	16
2015.06.02	1.09260	1.11937	1.09153	1.11496	154147	0	16
2015.06.03	1.11500	1.12844	1.10786	1.12732	147393	0	16
2015.06.04	1.12731	1.13791	1.12228	1.12371	144237	0	16
2015.06.05	1.12369	1.12794	1.10486	1.11136	155177	0	16
2015.06.08	1.10957	1.13063	1.10834	1.12905	130194	0	16
2015.06.09	1.12905	1.13448	1.12133	1.12815	145983	0	16
2015.06.10	1.12819	1.13857	1.12592	1.13228	163226	0	16
2015.06.11	1.13226	1.13308	1.11813	1.12566	137836	0	16
2015.06.12	1.12568	1.12957	1.11504	1.12633	140183	0	16
2015.06.15	1.12100	1.12937	1.11885	1.12819	126760	0	16
2015.06.16	1.12828	1.13290	1.12041	1.12467	112891	0	16
2015.06.17	1.12467	1.13571	1.12044	1.13364	131887	0	16
2015.06.18	1.13356	1.14354	1.13296	1.13571	141630	0	16
2015.06.19	1.13571	1.13959	1.12912	1.13466	109906	0	16
2015.06.22	1.13757	1.14097	1.13109	1.13395	116288	0	16
2015.06.23	1.13399	1.13467	1.11343	1.11667	131710	0	16
2015.06.24	1.11665	1.12338	1.11543	1.12031	127963	0	16
2015.06.25	1.12055	1.12271	1.11529	1.12026	108585	0	16
2015.06.26	1.12026	1.12190	1.11292	1.11704	103104	0	16
2015.06.29	1.10020	1.12776	1.09532	1.12347	180724	0	16
2015.06.30	1.12348	1.12438	1.11117	1.11449	147883	0	16
2015.07.01	1.11449	1.11706	1.10420	1.10521	113999	0	16
2015.07.02	1.10527	1.11208	1.10315	1.10826	109848	0	16
2015.07.03	1.10828	1.11170	1.10643	1.11081	85160	0	16
2015.07.06	1.09870	1.10948	1.09687	1.10549	135627	0	16
2015.07.07	1.10552	1.10580	1.09156	1.10100	144368	0	16
2015.07.08	1.10106	1.10920	1.09734	1.10753	151285	0	16
2015.07.09	1.10754	1.11243	1.09907	1.10354	132498	0	16
2015.07.10	1.10302	1.12153	1.10293	1.11525	145449	0	16
2015.07.13	1.10918	1.11964	1.09948	1.09999	132699	0	16
2015.07.14	1.10046	1.10833	1.09647	1.10076	120469	0	16
2015.07.15	1.10075	1.10349	1.09291	1.09453	119106	0	16
2015.07.16	1.09455	1.09618	1.08548	1.08738	116460	0	16
2015.07.17	1.08738	1.09063	1.08275	1.08285	98374	0	16
2015.07.20	1.08275	1.08694	1.08078	1.08241	94888	0	16
2015.07.21	1.08236	1.09681	1.08108	1.09339	116653	0	16
2015.07.22	1.09333	1.09660	1.08689	1.09278	113545	0	16
2015.07.23	1.09232	1.10172	1.09210	1.09846	116605	0	16
2015.07.24	1.09845	1.09951	1.09246	1.09758	97678	0	16
2015.07.27	1.09806	1.11285	1.09682	1.10871	115807	0	16
2015.07.28	1.10878	1.10990	1.10214	1.10593	100145	0	16
