<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.08.28	0.88679	0.88841	0.87460	0.87594	364515	218769062000	8
2011.09.04	0.87529	0.88416	0.85958	0.85985	360332	0	10
2011.09.11	0.85738	0.87890	0.85306	0.87383	397448	0	5
2011.09.18	0.87003	0.87944	0.86703	0.87278	421833	0	6
2011.09.25	0.87244	0.87454	0.85781	0.85874	410402	0	6
2011.10.02	0.85675	0.87269	0.85294	0.85948	418489	0	4
2011.10.09	0.86052	0.87863	0.86050	0.87700	361991	0	8
2011.10.16	0.87707	0.87963	0.86692	0.87028	369033	0	10
2011.10.23	0.86961	0.88292	0.86725	0.87748	371508	0	10
2011.10.30	0.87695	0.87827	0.85478	0.85988	405317	0	10
2011.11.06	0.86041	0.86075	0.84854	0.85681	349297	0	10
2011.11.13	0.85707	0.86020	0.85181	0.85548	355984	0	7
2011.11.20	0.85649	0.86642	0.85450	0.85678	317806	0	5
2011.11.27	0.85907	0.86160	0.85192	0.85846	320766	0	5
2011.12.04	0.85935	0.86119	0.84949	0.85374	293083	0	4
2011.12.11	0.85397	0.85524	0.83727	0.83882	279010	0	10
2011.12.18	0.83928	0.84162	0.83023	0.83660	282345	0	4
2011.12.25	0.83524	0.84209	0.83269	0.83276	216130	0	9
2012.01.01	0.83413	0.83715	0.82379	0.82430	250480	0	10
2012.01.08	0.82331	0.83752	0.82208	0.82735	292823	0	9
2012.01.15	0.82623	0.83770	0.82541	0.83016	279135	0	8
2012.01.22	0.82869	0.84067	0.82823	0.84029	285680	0	4
2012.01.29	0.84010	0.84049	0.82745	0.83126	310932	0	4
2012.02.05	0.82935	0.84051	0.82640	0.83746	290380	0	5
2012.02.12	0.83816	0.84013	0.82767	0.82987	293535	0	10
2012.02.19	0.83202	0.85043	0.83149	0.84717	272422	0	5
2012.02.26	0.84701	0.84885	0.83134	0.83336	221403	0	10
2012.03.04	0.83333	0.83977	0.83177	0.83711	249503	0	4
2012.03.11	0.83704	0.84214	0.82931	0.83130	243233	0	10
2012.03.18	0.83173	0.83709	0.82829	0.83602	237821	0	10
2012.03.25	0.83576	0.83946	0.83235	0.83251	257460	0	5
2012.04.01	0.83414	0.83578	0.82341	0.82413	270548	0	5
2012.04.08	0.82375	0.82760	0.82264	0.82493	278039	0	4
2012.04.15	0.82409	0.82677	0.81615	0.81952	290811	0	5
2012.04.22	0.81784	0.82211	0.81336	0.81469	276073	0	5
2012.04.29	0.81349	0.81974	0.80943	0.81000	245978	0	5
2012.05.06	0.80626	0.80788	0.79959	0.80358	285552	0	5
2012.05.13	0.80203	0.80798	0.79496	0.80773	275736	0	5
2012.05.20	0.80798	0.81014	0.79795	0.79877	294807	0	5
2012.05.27	0.80160	0.80937	0.79709	0.80904	291421	0	5
2012.06.03	0.80886	0.81394	0.80501	0.80891	299015	0	5
2012.06.10	0.81471	0.81525	0.80117	0.80406	296722	0	5
2012.06.17	0.80915	0.81094	0.80221	0.80614	295460	0	5
2012.06.24	0.80532	0.80935	0.79839	0.80610	290450	0	5
2012.07.01	0.80717	0.80765	0.79242	0.79312	281572	0	5
2012.07.08	0.79244	0.79477	0.78555	0.78629	264410	0	5
2012.07.15	0.78604	0.78748	0.77707	0.77791	269946	0	5
2012.07.22	0.77657	0.78726	0.77622	0.78218	305163	0	5
2012.07.29	0.78172	0.79230	0.77901	0.79156	288741	0	5
2012.08.05	0.79250	0.79623	0.78279	0.78318	261976	0	5
2012.08.12	0.78361	0.78837	0.78122	0.78558	237226	0	5
2012.08.19	0.78594	0.79327	0.78329	0.79115	245171	0	5
2012.08.26	0.79093	0.79559	0.79010	0.79291	213305	0	5
2012.09.02	0.79203	0.80063	0.78870	0.80044	241041	0	5
2012.09.09	0.79968	0.81143	0.79669	0.80934	264677	0	5
2012.09.16	0.80854	0.81012	0.79745	0.79964	253614	0	5
2012.09.23	0.79889	0.79950	0.79229	0.79535	263091	0	5
2012.09.30	0.79529	0.80792	0.79411	0.80765	245138	0	5
2012.10.07	0.80695	0.80982	0.80214	0.80556	231271	0	5
2012.10.14	0.80560	0.81464	0.80388	0.81322	233579	0	5
2012.10.21	0.81338	0.81642	0.80010	0.80345	224060	0	5
2012.10.28	0.80338	0.80749	0.79956	0.80079	269991	0	3
2012.11.04	0.80017	0.80296	0.79596	0.79919	417969	0	5
2012.11.11	0.79948	0.80644	0.79690	0.80205	393309	0	5
2012.11.18	0.80165	0.81081	0.80047	0.80874	391000	0	5
2012.11.25	0.80946	0.81318	0.80588	0.81081	384642	0	5
2012.12.02	0.81087	0.81471	0.80448	0.80575	369104	0	4
2012.12.09	0.80440	0.81444	0.80344	0.81356	377157	0	4
2012.12.16	0.81475	0.81677	0.81106	0.81509	401125	0	4
2012.12.23	0.81540	0.82248	0.81471	0.81741	251552	0	4
2012.12.30	0.81738	0.81855	0.80846	0.81297	338437	0	5
